municipality_code,municipality_name,taxa_crescimento_efetivo,taxa_bruta_natalidade,prop_pop_65_mais,prop_ensino_secundario,prop_nacionalidade_estrangeira,densidade_populacional,empresas_volume_negocios,percentagem_poder_compra,coeficiente_gini,disparidade_ganho_mensal,taxa_desemprego,prop_risco_pobreza,prop_agregados_unipessoais,prop_edificios_fora_urbano,prop_mais_20min_escola,prop_mais_30min_hospital,duracao_pendulares,acessos_internet_banda_larga,valor_mediano_vendas_m2,racio_vendas_estrangeiros,taxa_esforco_arrendamento,prop_alojamentos_arrendados,prop_alojamentos_sobrelotados,prop_habitacao_social,prop_alojamentos_locais,indice_envelhecimento_edificios,prop_necessidade_reparacao,prop_reabilitacao_edificado,prop_alojamentos_vagos,prop_vagos_bom_estado,prop_alojamentos_nao_classicos,certificacao_energetica_cf,consumo_energia_eletrica,emissoes_gee_edificios,prop_sem_aquecimento,prop_ar_condicionado,emissoes_gee_transportes,prop_modo_pedonal,prop_transporte_coletivo,risco_incendio_rural,risco_inundacao,risco_galgamentos_costeiros,risco_ondas_calor,risco_ondas_frio,risco_nevao,risco_seca,risco_sismo,risco_movimento_massa,risco_tsunami
0308,Guimarães,-0.18,7.2,19.98,38,0.055,649.4,375404.6,1.314,41,5.3,7.4,17.75037594,16.98,17.2,70.85,0,16.04,39.09,1358,0.920583468,29.7868784,0.0535,12.6706395953156,2.384066587,1.9,374.5,10.19,13.2,7.8,67.55859,0,39.56110942,1311.3,40.71,26.81,25.2650544,243.66,15.1,11.9,43.972,0,0,73.172,100,0.803,33.333,33.333,15.759,0
0309,Póvoa de Lanhoso,1.42,7.3,22.39,32.26,0.048,170.3,265293.4,0.154,38.4,2.7,7.53,26.11948529,17.85,18.7,73.8,1,17.02,37.01,997,1,25.92000001,0.0593,9.23446184941889,0.31260283,1.72,246.6,16.76,1.6,8.9,50.71685,0.05,40.47186933,1391,5.74,16.73,14.86862052,20.48,14.8,16,60.764,0,0,75,100,3.08,33.333,33.333,23.251,0
0310,Terras de Bouro,-0.5,5.3,29.08,30.74,0.03,22.9,103530.1,0.041,38.6,15.7,10.04,28.39830508,22.64,13.9,86.08,89,22.18,41.02,763,1,44.59762639,0.1979,9.81052631578947,0.472861842,41.9,642.6,22.02,0,11.8,46.9459,0.03,40.11976048,1380.2,3.7,15.45,9.094736842,5.63,17.4,20.6,80.12,0,0,82.33,100,48.139,33.333,33.315,55.051,0
0311,Vieira do Minho,0.01,4.1,29.53,29.78,0.027,55.8,90942.06,0.076,40.2,1.7,8.93,30.61871921,21.77,24,80.29,37,20.39,38,669,1,28.22727273,0.2401,9.62848977797318,1.253918495,0,488.4,15.52,26.5,10.1,46.8323,0.03,41.70403587,1348.8,2.23,12.86,5.012090569,11.39,15.3,19,77.014,0,0,75,100,35.189,33.333,33.333,40.831,0
0312,Vila Nova de Famalicão,0.52,8.1,19.68,40.48,0.063,678.1,458738.1,1.169,40.7,12.3,6.99,17.23768116,16.14,5.5,73.85,0,16.78,37.78,1402,1,29.4196662,0.0407,11.6510295582862,0.652209066,0,338.5,10.73,15.9,9.1,63.74691,0.02,33.11990687,1347.7,38.61,27.35,23.40376951,236.59,12.4,11.2,32.641,0,0,50.027,100,0,33.333,34.849,5.771,0
0313,Vila Verde,1.14,8.1,21.83,36.86,0.05,213,201742.4,0.342,40,4.3,6.72,26.43495146,16.75,11.2,83.98,1,18.99,35.33,1219,1.035648995,31.57296921,0.0348,10.6532601320091,0.095305184,0,234.7,10.44,0,9.2,61.56915,0.27,29.67625899,1308.8,10.56,21.65,18.02479798,51.97,11.4,13.5,53.268,0,0,71.809,100,5.033,33.333,34.257,23.034,0
0314,Vizela,0.65,8.4,17.51,33.6,0.034,999.5,281144.1,0.187,38.1,10.4,6.79,18.4649629,14.51,5.7,56.56,0,15.84,36.15,1089,1,27.43355372,0.0197,14.6841673502871,0.189693329,0,185.3,9.03,19.2,7.8,63.79085,0.01,24.46351931,1208.4,6.32,32.72,26.8018282,33.5,18.5,11.2,41.256,0,0,75,100,0,33.333,33.333,21.839,0
0401,Alfândega da Fé,-1.05,2.6,37.88,30.61,0.05,13,52443.83,0.027,41.6,0.5,9.69,31.8849252,27.14,3,63.19,25,14.9,32.98,417,1,21.24356436,0.1437,5.4259359739555,0.963733198,3.24,834.3,11.41,0,16,69.41748,0.12,48.7804878,1574,2.71,7.43,15.57243625,3.96,24.9,7.1,66.616,0,0,90.839,100,19.986,66.667,34.507,14.935,0
0402,Bragança,0.44,6.2,28.19,48.75,0.159,30.3,128029.6,0.316,44.4,3.8,6.62,19.99273168,25.9,5,51.73,1,13.55,42.3,932,1,18.37685025,0.0627,8.06835691273287,1.072501073,4.42,462.7,9.9,25,9.3,68.79167,0.11,35.39381854,1596.1,13.19,8.4,6.68861185,58.99,21.1,4.4,70.169,0,0,75.333,100,59.764,66.667,34.382,10.715,0
0403,Carrazeda de Ansiães,-0.41,2.2,37.27,27.36,0.046,19.2,79590.33,0.035,41.5,1.2,9.92,30.84136546,30.61,5.9,70.63,99,15.51,33.78,448,1,27.57602438,0.0489,8.26689047419219,0.74019245,2.74,850.3,32.02,40,7.8,36.38554,1.38,23.40425532,1429.5,1.37,7.72,9.064204784,4.95,22.8,12.8,72.518,0,0,75,100,32.062,66.667,33.834,30.809,0
