DICO;Localizacao;pop_risco_pobreza;proporcao_al;txt_esforco_2023;variacao_txt_esforco_2017_2023;prop_fogos_hab_social;aru_oru;prop_drenagem_agua;prop_abast_agua;r_edi_habfa;certificacao_a_c;emicao_co2_transportes;cheias_inu;incendios;inund_galg;movi_massa;nevoes_pon;onda_de_calor;onda_de_fr;seca_ponde;sismo_pord;tsunami_po;ventos_for
1302;Baião;71,14313;4,769376;6,936908918;23,37066365;0,467727;100;62,10526316;38,29787;64,7;44,92753623;1,661624984;0;81,24886302;0;72,35109262;35,43169529;55,65733333;87,38882676;0;6,471661055;0;48,93836464
1303;Felgueiras;44,49878;0;11,36043522;34,96517817;6,898213;87,5;58,94736842;21,2766;95,7;39,13043478;9,017510971;0;46,8471439;0;23,57995313;1,17772892;66,66666667;100;0;6,471661055;0;33,8760692
1304;Gondomar;26,77153;1,296935;41,9726959;59,4745257;40,61895;90,625;10,52631579;6,382979;100;40,57971014;26,4837459;0;52,9914044;0;16,3248624;0;33,33333333;64,91319167;0;4,337822671;0;11,19942793
1305;Lousada;51,40258;1,035457;17,26997208;50,30563748;13,28088;100;14,73684211;23,40426;82,5;26,08695652;8,250607132;0;47,17800619;0;15,13687308;1,215758512;43,40266667;100;0;6,471661055;0;24,80128716
1306;Maia;11,71751;1,035457;38,67674776;57,26302624;39,27169;96,875;0;0;76,6;17,39130435;32,74359848;0;22,9352374;0;0,644856588;0;27,32533333;100;0;9,705387205;0;24,47949614
1307;Marco de Canaveses;69,72298;2,552034;20,28429734;44,84141243;3,098508;100;51,57894737;97,87234;92,3;34,7826087;6,705082868;0;63,20606695;0;46,6422045;6,418682037;37,84;83,52505725;0;6,471661055;0;22,24483622
1308;Matosinhos;14,98884;3,869888;61,39662422;69,90857101;50,50856;90,625;1,052631579;0;76,4;21,73913043;38,4815304;0;8,819583409;20,27904632;0,474105829;0;2,706666667;87,29163338;0;12,74551066;6,968394948;45,65307077
1309;Paços de Ferreira;51,57663;1,077293;23,38419882;46,54699136;10,03008;96,875;0;10,6383;77,8;34,7826087;9,369008564;0;42,46748226;0;7,812755445;0,55618278;33,33333333;100;0;6,471661055;0;53,23716274
1310;Paredes;58,26365;0,784437;29,47148525;51,15020003;4,470782;100;23,15789474;0;91,4;26,08695652;18,61765583;0;56,95265599;0;16,45201722;0,001188425;33,33333333;94,27757363;0;6,471661055;0;21,72226959
1311;Penafiel;52,14279;1,621169;23,46897862;47,54183432;8,020313;93,75;14,73684211;2,12766;67,4;33,33333333;12,95002343;0;59,3892123;0;25,18028737;0,383861192;33,33333333;93,44943282;0;6,471661055;0;23,42473665
1312;Porto;22,77703;34,76624;85,2034792;94,97961952;100;93,75;0;0;35,2;17,39130435;49,2820928;9,98133632;0;6,73447601;1,144393381;0;9,112;58,8099803;0;0;2,733721668;43,94097747
1313;Póvoa de Varzim;39,95722;5,721159;45,19894742;60,75407748;12,6933;90,625;6,315789474;0;98,2;24,63768116;12,07021431;0;21,92559578;27,34416701;1,307878149;0;9,793333333;99,75102519;0;20,07295174;7,552338659;42,7239473
1314;Santo Tirso;23,73871;0,606631;18,10445341;44,48811386;16,29563;96,875;22,10526316;17,02128;81,2;52,17391304;11,28626816;0;50,16031472;0;19,00056311;0,014261097;34,00533333;100;0;6,471661055;0;24,73527875
1315;Valongo;21,88857;0;40,59128604;60,48576578;26,39219;100;2,105263158;2,12766;93,3;33,33333333;19,96506327;0;58,06803711;0;15,28582587;0;33,33333333;100;0;6,471661055;0;18,32421134
1316;Vila do Conde;25,47509;0;39,25357312;57,69833506;22,24843;100;8,421052632;4,255319;66,7;26,08695652;17,3235056;0;26,1870111;11,58590831;2,715663657;0;10,844;99,9334292;0;15,92171717;4,073187612;43,96435546
1317;Vila Nova de Gaia;23,30414;0;54,23996246;71,30386672;23,2313;93,75;12,63157895;21,2766;84;28,98550725;69,68066976;3,098170959;21,97107513;6,420141154;3,996294345;0;11,588;55,57330777;0;12,78338945;2,818790011;38,24912676
1318;Trofa;23,34378;0;33,37476775;59,80904173;7,382851;93,75;3,157894737;8,510638;81,8;33,33333333;11,27348643;0;48,35592141;0;6,844562315;0;33,33333333;100;0;10,76318743;0;17,80439506
1401;Abrantes;23,01119;2,23826;18,31178025;53,0086201;2,489648;96,875;21,05263158;27,65957;51,6;56,52173913;4,965702356;4,354236655;51,5030926;0;9,000744764;0;66,66666667;55,61990733;50,00075;26,83501684;0;15,17230947
1402;Alcanena;24,13733;1,443364;14,53844509;48,52922464;10,2595;87,5;6,315789474;0;100;47,82608696;5,288441055;0;50,89139531;0;13,66006067;0,110523501;66,66666667;42,45087075;1,46999265;56,26402918;0;24,54687973
1403;Almeirim;35,1774;1,255099;30,27198691;55,18279426;6,118991;93,75;10,52631579;6,382979;100;44,92753623;2,236802863;26,32698768;26,21088776;0,747286638;0,263392127;0;66,66666667;23,20791394;23,91588042;86,64141414;0,494549859;8,385819192
1404;Alpiarça;33,91646;1,61071;29,97803618;49,7016591;5,150104;93,75;6,315789474;8,510638;85,7;72,46376812;0,601806485;48,7793953;21,53902128;0;0,181649743;0;66,66666667;33,72476967;12,53843731;83,06116723;0;8,321185951
1405;Benavente;18,17332;1,453823;30,4478612;53,06299449;7,980823;93,75;13,68421053;10,6383;100;37,68115942;4,141280729;10,5431131;16,75004548;22,11464326;0,005449492;0;26,10133333;11,23848325;26,1193694;95,42508418;26,94071169;10,09928766
1406;Cartaxo;15,84959;1,934944;21,43424282;50,4841911;0,286217;93,75;29,47368421;6,382979;84;44,92753623;5,957351625;61,50429265;21,73117155;28,04252417;0,637590598;0;66,66666667;11,23848325;0;95,36896745;19,29753734;8,321185951
1407;Chamusca;28,02747;2,008158;13,38979216;48,02581874;14,91622;93,75;18,94736842;10,6383;55,6;59,42028986;0,802053598;10,75401269;43,37252138;0;3,315107809;0;66,66666667;55,61990733;49,31825341;49,23681257;0;8,515085673
1408;Constância;12,43538;6,045393;18,90730226;53,6401814;9,013801;96,875;0;0;94,1;62,31884058;0,950108645;17,15192236;48,82890668;0;3,850974551;0;66,66666667;55,61990733;50,00075;33,09483726;0;8,48070629
1409;Coruche;23,14199;0,909947;25,56752267;46,30106098;3,659016;87,5;29,47368421;8,510638;100;55,07246377;1,613693494;0;23,94828998;0;0,18346624;0;57,85866667;33,00181073;50,00075;61,02132435;0,497433531;8,454577959
1410;Entroncamento;11,88711;0,219642;21,40367334;64,75910018;15,68475;100;0;0;100;42,02898551;3,459588428;0,375139978;11,75868656;0;0;0;66,66666667;55,61990733;50,00075;86,33838384;0;8,321185951
1411;Ferreira do Zêzere;36,70989;5,260956;22,70571248;44,92325636;0;100;74,73684211;4,255319;40;60,86956522;0,977802394;0;63,7290795;0;20,86792247;0;66,66666667;55,61990733;50,00075;6,471661055;0;30,00907616
1412;Golegã;14,56002;7,854827;25,37090698;57,88007792;14,25543;84,375;1,052631579;2,12766;100;72,46376812;0,453751438;100;17,14344188;0;0,210713702;0;66,66666667;55,61990733;40,65279674;84,68995511;0;8,321185951
1413;Mação;27,85428;2,468361;26,97257104;54,09101363;0;96,875;42,10526316;6,382979;53,8;81,15942029;1,499723063;0;93,56239767;0;18,13772684;0,708301147;66,66666667;55,61990733;50,00075;7,93630752;0;33,92970104
1414;Rio Maior;39,59312;2,332392;20,5599174;45,36140391;4,985797;93,75;24,21052632;0;68,9;49,27536232;2,542499254;0;45,67150264;0;8,91173639;0;57,04533333;11,23848325;0;61,85325477;0;14,60573723
1415;Salvaterra de Magos;24,10491;1,349231;20,54939525;37,09505629;5,141099;93,75;22,10526316;4,255319;97,9;39,13043478;2,643687955;19,07614782;27,12502274;12,070755;0,227062179;0;60,23466667;11,23848325;13,82843086;99,21156004;12,2022608;8,321185951
1416;Santarém;24,30807;1,934944;31,01942676;62,8548558;8,08434;93,75;22,10526316;0;78;31,88405797;17,77086618;11,23926838;34,36306167;0,057825752;6,352291512;0;65,75333333;17,41625393;0,05399973;62,00056117;0,030278563;11,75499876
1417;Sardoal;26,8729;4,612488;27,7467859;56,06849863;22,86991;96,875;13,68421053;0;50;27,53623188;0,290784372;0;75,94369656;0;16,71904234;0;66,66666667;55,61990733;50,00075;7,090347924;0;43,08286807
1418;Tomar;27,60213;0;29,90489374;56,14832935;5,450528;96,875;46,31578947;0;100;56,52173913;6,117123258;2,659574468;51,33595598;0;4,644783928;0;66,66666667;55,61990733;50,00075;14,08950617;0;14,46409417
1419;Torres Novas;14,48713;0;21,03233814;51,45342286;3,96472;96,875;32,63157895;4,255319;70,7;49,27536232;6,2385497;1,980216499;37,47612334;0;8,370420156;0,035652742;66,66666667;55,61990733;45,74827126;61,11391695;0;11,6972414
1420;Vila Nova da Barquinha;2,899744;0;10,64390019;46,77916963;13,8839;96,875;16,84210526;0;87,1;37,68115942;1,713817051;10,6308324;50,38998545;0;4,929974024;0;66,66666667;55,61990733;50,00075;41,35662177;0;8,413322699
1421;Ourém;28,49499;6,798452;30,89798183;60,00101472;0;96,875;53,68421053;0;100;49,27536232;6,88722253;0;57,93842096;0;11,96526857;0,134291996;59,74133333;55,61990733;47,68326158;23,4161055;0;23,13594983
1501;Alcácer do Sal;22,49471;16,19078;34,98973791;56,16475978;7,651912;96,875;5,263157895;0;100;53,62318841;7,77555281;2,245240761;21,43782973;3,791293518;0,655755572;0;26,844;29,67726474;50,18374908;63,25476992;19,24995674;11,87188867
1502;Alcochete;7,687014;2,583412;43,45698408;71,7747197;7,898977;96,875;5,263157895;4,255319;90;20,28985507;7,879936943;0;9,326678188;43,69847577;0;0;6,346666667;11,23715183;28,28685857;61,61054994;88,05294423;0,283286119
1503;Almada;19,56938;10,27089;71,51993066;89,09602185;44,57957;78,125;0;0;100;36,23188406;33,81193814;0;13,58695652;20,94626653;10,54113458;0;0;11,23848325;0;92,79461279;22,66566699;15,48034874
1504;Barreiro;14,79775;1,307395;58,18042792;90,63058689;9,365568;93,75;1,052631579;0;69,7;39,13043478;14,73200971;0;15,33108969;27,02093589;0,221612686;0;0;5,338978538;21,98839006;78,43574635;57,94884365;1,50031629
1505;Grândola;28,85413;25,37391;52,61544974;83,88725273;12,07514;93,75;15,78947368;38,29787;85,6;43,47826087;4,121042989;0;27,41722758;7,210426428;0,58672867;0;23,83733333;28,08222826;50,00075;68,40347924;8,531345522;18,52086141
1506;Moita;20,29829;0,711223;55,20763293;86,79088928;24,34395;100;2,105263158;0;100;49,27536232;11,50142729;0;9,070856831;37,92479687;0;0;0;11,23848325;26,41786791;75,83473625;80,02191591;0
1507;Montijo;26,39437;1,98724;57,4671297;86,74315478;19,39997;96,875;14,73684211;6,382979;85;20,28985507;12,76255805;0;21,3764326;4,133799893;0,00726599;0;27,07866667;11,18256377;46,27626862;81,95286195;11,79998847;7,695481174
1508;Palmela;16,48764;2,740299;37,85959075;60,49362798;0,851846;93,75;17,89473684;0;84;27,53623188;17,92105151;0,080253826;19,45379298;1,392266176;2,00722966;0;16,95866667;11,0028226;50,00075;93,53114478;11,89226599;12,95552683
1509;Santiago do Cacém;12,89408;6,296413;35,80185963;62,95169024;7,7053;93,75;38,94736842;25,53191;90,2;40,57971014;2,827957906;0,586039567;23,84596143;1,969040982;0,821056838;0;27,68;39,40459072;50,00075;52,4845679;1,789318877;17,47160263
1510;Seixal;15,803;3,054074;52,39642391;78,3357393;9,008338;87,5;2,105263158;0;100;31,88405797;31,04469345;0;18,98080771;12,89810806;0;0;0,073333333;11,22650051;7,513462433;87,20538721;34,13547494;5,25867048
1511;Sesimbra;15,19667;16,00251;42,09458273;65,37052663;9,277478;96,875;3,157894737;2,12766;100;34,7826087;6,139491287;0;35,72516827;5,032323113;5,149770213;0;1,370666667;11,18655802;41,49279254;94,72643098;6,482496107;18,06017767
1512;Setúbal;17,83469;7,69794;54,18046303;85,39487261;34,8089;96,875;2,105263158;2,12766;91,8;33,33333333;16,55873205;0,516983949;18,80457522;32,13777356;14,23770685;0;2,990666667;0;50,00075;67,78479237;58,34679047;7,320058307
1513;Sines;12,68539;15,20761;57,62448402;83,587447;38,62399;93,75;9,473684211;14,89362;89,2;26,08695652;1,884240126;0;26,82031108;9,962339126;0,791992879;0;0;11,11066731;50,00075;86,0872615;9,171520849;39,03985258
1601;Arcos de Valdevez;68,20008;6,066311;23,03379207;46,47400599;5,302956;100;69,47368421;14,89362;53,4;27,53623188;2,195262239;0,593505039;82,04816263;0;78,97949174;36,58803256;90,35866667;100;0;7,003367003;0;57,49745593
1602;Caminha;46,27358;24,35938;24,90192199;38,13116661;1,255678;96,875;17,89473684;2,12766;93,9;40,57971014;2,460483149;0;67,75627615;9,134986063;30,62796316;1,447501337;23,27466667;99,92144645;0;7,030022447;13,7940481;65,3937127
1603;Melgaço;57,05797;0;17,67810571;28,04816783;2,13761;96,875;31,57894737;27,65957;44,4;37,68115942;0,726428358;0;87,78538294;0;60,71461009;73,80236497;100;99,99866858;0;5,042087542;0;63,86864325
1604;Monção;51,84551;3,127288;26,1692117;49,50895739;8,800846;96,875;53,68421053;0;73,2;8,695652174;1,773465127;0;68,17923413;0;44,50055403;10,56866124;99,04133333;100;0;11,50673401;0;46,33240738
1605;Paredes de Coura;57,2848;12,96935;11,45150577;38,90877343;0,148198;96,875;8,421052632;0;90,9;39,13043478;1,354863449;0;72,16208841;0;26,12123304;8,629152059;67,13866667;100;0;7,617845118;0;75,6525207
1606;Ponte da Barca;70,52468;3,72346;15,55226183;43,58594867;14,65117;100;14,73684211;2,12766;56,5;33,33333333;1,232371863;0,813736469;82,5279698;0;76,85782275;27,8436033;81,79733333;100;0;6,175645342;0;44,93935477
1607;Ponte de Lima;49,34705;6,777534;28,83562654;56,04734166;7,906401;93,75;50,52631579;4,255319;81;14,49275362;8,06846747;1,450167973;60,33518283;0;37,60694629;1,20030899;50,05733333;100;0;10,82491582;3,314781706;38,87208119
